Time,Target Position,Measured Position,Torque,Current,Rotation raw,Pinion Target,Pinion Position,Pinion Current,Torque demand,Previous Pos,Moved,Motion Direction,i,j,Percent Output,PosControl, Stator Current,System Clock,
1.00811,-2.53441,80,0.0142342,0.78,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0156403,1,0.78,Wed Jan 18 12:42:46 2023,0,
1.01817,-5.69264,74,0.0142342,0.78,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0117302,1,0.78,Wed Jan 18 12:42:46 2023,0,
1.02823,-8.84478,68,0.0142342,0.78,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.00782014,1,0.78,Wed Jan 18 12:42:46 2023,0,
1.03829,-11.9876,62,0.0142342,0.78,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0058651,1,0.78,Wed Jan 18 12:42:46 2023,0,
1.04835,-15.1187,57,0.0142342,0.78,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.00488759,1,0.78,Wed Jan 18 12:42:46 2023,0,
1.05841,-18.2343,49,0.0056572,0.31,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.000977517,1,0.31,Wed Jan 18 12:42:46 2023,0,
1.06847,-21.3329,43,0.0056572,0.31,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00293255,1,0.31,Wed Jan 18 12:42:46 2023,0,
1.07854,-24.4103,42,0.0056572,0.31,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00195503,1,0.31,Wed Jan 18 12:42:46 2023,0,
1.0886,-27.4624,41,0.0056572,0.31,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0,1,0.31,Wed Jan 18 12:42:46 2023,0,
1.09866,-30.4881,41,0.0056572,0.31,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.00391007,1,0.31,Wed Jan 18 12:42:46 2023,0,
1.10872,-33.4831,41,0.00328482,0.18,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.00684262,1,0.18,Wed Jan 18 12:42:46 2023,0,
1.11878,-36.4436,41,0.00328482,0.18,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0107527,1,0.18,Wed Jan 18 12:42:46 2023,0,
1.12884,-39.3678,41,0.00328482,0.18,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0136852,1,0.18,Wed Jan 18 12:42:46 2023,0,
1.1389,-42.2527,38,0.00328482,0.18,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0156403,1,0.18,Wed Jan 18 12:42:46 2023,0,
